#------------------------------------------------- WARNING --------------------------------------------|||||||||||||
# |||||||||||||
# The data you have obtained from this automated Natural Resources Conservation Service |||||||||||||
# database are subject to revision regardless of indicated Quality Assurance level. |||||||||||||
# Data are released on condition that neither the NRCS nor the United States Government |||||||||||||
# may be held liable for any damages resulting from its use. |||||||||||||
# |||||||||||||
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor |||||||||||||
# conversion equation and varies through the output range. Solutions are in development. |||||||||||||
# For more information go to Air Temperature Bias Correction. |||||||||||||
# |||||||||||||
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf|||||||||||||
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/|||||||||||||
# |||||||||||||
# Support Contact: usdafpacbc@servicenowservices.com|||||||||||||
# |||||||||||||
#------------------------------------------------------------------------------------------------------|||||||||||||
# |||||||||||||
# Reporting Frequency: Daily|||||||||||||
# Date Range: Period of Record|||||||||||||
#|||||||||||||
# Data for the following site(s) are contained in this file:|||||||||||||
#|||||||||||||
#|||||||||||||
# |||||||||||||
# Data items provided in this file:|||||||||||||
#|||||||||||||
# Element Name             Value Type  Function Type  Function Duration  Base Data  Measurement Units   Sensor Depth  Element Code  Description                                              |||||||||||||
# Air Temperature Maximum  Value       None           Day                N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency  |||||||||||||
# |||||||||||||
# Quality Control flags included:|||||||||||||
#|||||||||||||
# Flag    Name                Description|||||||||||||
#  V      Valid               Validated Data|||||||||||||
#  N      No Profile          No profile for automated validation|||||||||||||
#  E      Edit                Edit| minor adjustment for sensor noise||||||||||||
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets|||||||||||||
#  K      Estimate            Estimate|||||||||||||
#  X      External Estimate   External estimate|||||||||||||
#  S      Suspect             Suspect data|||||||||||||
# |||||||||||||
# Quality Assurance flags included:|||||||||||||
#|||||||||||||
# Flag    Name                Description|||||||||||||
#  U      Unknown             Unknown|||||||||||||
#  R      Raw                 No Human Review|||||||||||||
#  P      Provisional         Preliminary Human Review|||||||||||||
#  A      Approved            Processing and Final Review Completed|||||||||||||
# |||||||||||||
#------------------------------------------------------------------------------------------------------|||||||||||||
# |||||||||||||
# Prudhoe Bay (1177) |||||||||||||
# Alaska  SNOTEL Site - 30 ft|||||||||||||
# Reporting Frequency: Daily; Date Range: Period of Record|||||||||||||
#|||||||||||||
# As of: Oct 11|2024| 11:48:19 AM GMT-08:00|||||||||||
#|||||||||||||
Water Year|Day|Oct|Nov|Dec|Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep
2005|7|32|-11.2|-18.4|35.6|-7.6|-7.6|15.8|23|35.6|44.6|64.4|41
2005|8|30.2|-4|-14.8|-7.6|-2.2|-2.2|10.4|23|39.2|53.6|62.6|35.6
2005|9|23|-9.4|-14.8|-18.4|-4|-5.8|10.4|26.6|35.6|50|75.2|39.2
2005|10|23|-14.8|-22|-18.4|-4|3.2|-0.4|21.2|39.2|48.2|66.2|37.4
2005|11|21.2|1.4|-27.4|-18.4|-5.8|24.8|1.4|30.2|35.6|48.2|68|35.6
2005|12|24.8|10.4|-23.8|-27.4|-20.2|28.4|3.2|28.4|35.6|46.4|60.8|60.8
2005|13|23|15.8|-23.8|-34.6|-9.4|17.6|1.4|28.4|37.4|51.8|48.2|
2005|14|24.8|15.8|-18.4|-29.2|1.4|5|3.2|30.2|41|51.8|48.2|
2005|15|26.6|14|-9.4|-31|8.6|3.2|3.2|24.8|39.2|42.8|41|
2005|16|23|12.2|1.4|-23.8|3.2|6.8|3.2|32|41|39.2|39.2|
2005|17|26.6|12.2|3.2|-13|3.2|12.2|-0.4|33.8|41|44.6|41|
2005|18|35.6|12.2|3.2|-5.8|-20.2|14|10.4|33.8|37.4|37.4|39.2|
2005|19|33.8|14|1.4|-7.6|-11.2|6.8|14|33.8|44.6|44.6|42.8|
2005|20|30.2|10.4|1.4|-9.4|-7.6|-0.4|15.8|32|46.4|51.8|44.6|
2005|21|24.8|19.4|-0.4|-4|-7.6|10.4|28.4|32|35.6|50|57.2|
2005|22|24.8|21.2|-4|-7.6|-14.8|8.6|39.2|33.8|37.4|48.2|44.6|
2005|23|28.4|19.4|-16.6|-5.8|-11.2|14|28.4|32|41|48.2|42.8|
2005|24|24.8|17.6|23|-14.8|-7.6|1.4|24.8|35.6|44.6|48.2|37.4|
2005|25|23|14|23|-20.2|-7.6|-11.2|30.2|33.8|42.8|42.8|37.4|
2005|26|19.4|-5.8|3.2|-29.2|-14.8|-7.6|28.4|33.8|59|46.4|41|
2005|27|12.2|10.4|-11.2|-5.8|-16.6|-9.4|30.2|33.8|68|46.4|41|
2005|28|14|12.2|8.6|3.2|-22|-7.6|30.2|33.8|55.4|37.4|39.2|
2005|29|10.4|12.2|10.4|1.4||-9.4|32|35.6|39.2|41|35.6|
2005|30|-4|8.6|24.8|-2.2||-9.4|28.4|33.8|44.6|41|35.6|
2005|31|-2.2||10.4|-11.2||-7.6||33.8||42.8|48.2|
2006|1|||||||||39.2|42.8||
2006|2|||||||||35.6|41||
2006|3|||||||||32|41||
2006|4|||||||||46.4|42.8||
2006|5|||||||||44.6|37.4||
2006|6|||||||||44.6|46.4||
2006|7|||||||||53.6|42.8||
2006|8|||||||||59|41||
2006|9|||||||||62.6|41||
2006|10|||||||||60.8|44.6||
2006|11|||||||||48.2|44.6||
2006|12|||||||||60.8|41||
2006|13|||||||||48.2|51.8||
2006|14|||||||||42.8|62.6||
2006|15|||||||||37.4|57.2||
2006|16|||||||||42.8|55.4||
2006|17|||||||||46.4|66.2||
2006|18|||||||||41|53.6||
2006|19|||||||||59|||
2006|20|||||||||60.8|||
2006|21|||||||||68|||
2006|22|||||||||48.2|||
2006|23|||||||||62.6|||
2006|24|||||||||68|||
2006|25|||||||||53.6|||
2006|26|||||||||53.6|||
2006|27|||||||||66.2|||
2006|28|||||||||62.6|||
2006|29|||||||||60.8|||
2006|30|||||||||57.2|||
2006|31||||||||||||
2007|1||||-38.2|14|-9.4|21.2|14|37.4|46.4|50|46.4
2007|2||||-32.8|17.6|-22|23|15.8|35.6|51.8|51.8|51.8
2007|3||||-14.8|17.6|-32.8|10.4|21.2|39.2|60.8|51.8|44.6
2007|4||||-13|21.2|-23.8|12.2|24.8|41|55.4|46.4|39.2
2007|5||||-16.6|19.4|-16.6|10.4|23|51.8|55.4|42.8|44.6
2007|6||||-29.2|12.2|-9.4|14|26.6|46.4|55.4|48.2|48.2
2007|7||||-22|10.4|-16.6|10.4|26.6|48.2|55.4|48.2|44.6
2007|8||||-13|-7.6|-22|5|24.8|44.6|46.4|51.8|62.6
2007|9||||-5.8|-9.4|-32.8|8.6|21.2|42.8|42.8|57.2|60.8
2007|10||||-13|1.4|-34.6|17.6|23|37.4|48.2|68|60.8
2007|11||||-11.2|-5.8|-16.6|10.4|14|42.8|51.8|73.4|42.8
2007|12||||-7.6|-5.8|-25.6|10.4|14|37.4|62.6|64.4|55.4
2007|13||||-4|-0.4|-14.8|8.6|21.2|42.8|55.4|55.4|53.6
2007|14||||-5.8|-5.8|-18.4|15.8|26.6|46.4|48.2|51.8|39.2
2007|15|||6.8|-11.2|-16.6|-13|17.6|30.2|46.4|57.2|51.8|39.2
2007|16|||5|-18.4|-16.6|1.4|19.4|30.2|44.6|69.8|48.2|48.2
2007|17|||3.2|-5.8|-23.8|-16.6|21.2|26.6|42.8|57.2|46.4|51.8
2007|18|||-0.4|1.4|-23.8|-16.6|26.6|32|46.4|48.2|44.6|39.2
2007|19|||14|1.4|-27.4|-7.6|28.4|28.4|50|46.4|44.6|37.4
2007|20|||1.4|-5.8|-29.2|-16.6|26.6|32|68|46.4|53.6|35.6
2007|21|||-0.4|1.4|-27.4|-18.4|28.4|30.2|48.2|44.6|60.8|37.4
2007|22|||-13|-2.2|-36.4|-23.8|26.6|33.8|42.8|48.2|51.8|37.4
2007|23|||-22|-0.4|-16.6|-23.8|30.2|37.4|44.6|51.8|48.2|37.4
2007|24|||-2.2|-0.4|3.2|-22|30.2|33.8|42.8|51.8|46.4|33.8
2007|25|||-5.8|-7.6|-7.6|5|17.6|33.8|39.2|55.4|44.6|35.6
2007|26|||-7.6|-4|-14.8|12.2|17.6|33.8|42.8|51.8|51.8|33.8
2007|27|||-32.8|3.2|-22|10.4|14|32|41|48.2|53.6|33.8
2007|28|||-11.2|8.6|-23.8|12.2|8.6|35.6|39.2|51.8|51.8|33.8
2007|29|||-13|8.6||23|12.2|39.2|46.4|55.4|46.4|32
2007|30|||-14.8|10.4||17.6|14|32|42.8|48.2|39.2|33.8
2007|31|||-22|14||21.2||33.8||48.2|37.4|
2008|1|32|24.8|24.8|-0.4|-25.6|-23.8|26.6|17.6|44.6|52|44.3|39.8
2008|2|26.6|21.2|21.2|-0.4|-29.2|-25.6|24.8|21.2|42.8|56.8|49.9|41.2
2008|3|26.6|17.6|8.6|-0.4|-11.2|-9.4|19.4|24.8|50|58.9|48|40.5
2008|4|28.4|15.8|-0.4|-23.8|-11.2|-4|23|23|42.8|55.4|47.6|39.4
2008|5|28.4|14|17.6|-32.8|-34.6|-11.2|17.6|24.8|42.8|55.8|49.4|38.6
2008|6|26.6|14|21.2|-34.6|-31|-13|23|24.8|42.8|59.6|43.6|36.2
2008|7|23|12.2|17.6|-38.2|-32.8|-11.2|14|23|41|77.7|44.9|36.6
2008|8|26.6|24.8|14|-34.6|-27.4|-4|6.8|23|39.2|65.5|45.3|39.2
2008|9|28.4|24.8|19.4|-31|-23.8|-4|3.2|26.6|46.4|54.5|44.4|37.8
2008|10|26.6|15.8|19.4|-31|-14.8|-11.2|-0.4|19.4|44.6|52.6|46.9|38.7
2008|11|26.6|21.2|19.4|-41.8|-14.8|-22|-2.2|23|44.6|54.8|46.7|42.3
2008|12|28.4|23|14|-43.6|-4|-20.2|5|28.4|46.4|58.7|42.2|42.7
2008|13|28.4|23|12.2|-41.8|-2.2|-22|6.8|28.4|55.4|61.7|44.7|37.4
2008|14|28.4|19.4|8.6|-29.2|-11.2|-18.4|3.2|37.4|62.6|64.5|45.7|39.5
2008|15|28.4|15.8|5|-14.8|-5.8|-16.6|-0.4|35.6|48.2|59.7|49.8|40.4
2008|16|28.4|12.2|-7.6|-13|-4|-20.2|5|30.2|57.2|46.8|43.9|38.6
2008|17|28.4|15.8|-29.2|-13|-2.2|-29.2|21.2|30.2|46.4|47.4|40.5|44.4
2008|18|30.2|14|-29.2|14|12.2|-27.4|35.6|30.2|50|51.4|42.3|50.5
2008|19|30.2|21.2|-41.8|37.4|19.4|-27.4|26.6|30.2|62.6|54.2|46.8|37
2008|20|21.2|23|-23.8|24.8|21.2|-31|23|39.2|64.4|49.4|47.9|38.1
2008|21|19.4|23|-18.4|30.2|17.6|-16.6|21.2|41|48.2|43.6|48.2|39.2
2008|22|14|24.8|-4|21.2|-5.8|-22|24.8|44.6|62.6|45.8|50|39.3
2008|23|14|23|3.2|-18.4|-13|-20.2|35.6|50|48.2|49|54.3|36.4
2008|24|21.2|15.8|3.2|-27.4|-32.8|-14.8|28.4|41|60.8|55.8|44.7|32.9
2008|25|21.2|14|3.2|-23.8|-29.2|-13|23|48.2|59|62.1|42.9|32.9
2008|26|19.4|-4|3.2|-16.6|-2.2|-11.2|23|46.4|48.2|59.7|44.2|32.8
2008|27|21.2|-2.2|5|-13|-13|-7.6|19.4|37.4|46.4|61.7|45.5|32.9
2008|28|23|17.6|5|-14.8|-36.4|-5.8|15.8|42.8|53.6|56.5|43.9|31
2008|29|24.8|23|3.2|-23.8|-36.4|6.8|15.8|37.4|62.6|47.1|39.2|33
2008|30|23|24.8|-0.4|-14.8||19.4|17.6|33.8|56.3|44|38.3|33.8
2008|31|23||-2.2|-14.8||19.4||35.6||49.6|39.1|
2009|1|30.2|17.6|-2.2|-23.8|-25.6|-20.2|-2.2|32|46.4|45.3|62.1|56.5
2009|2|30.2|19.4|5|-16.6|-31|-9.4|-5.8|23|39.2|43|65.8|58.8
2009|3|28.4|12.2|1.4|-13|-32.8|-14.8|-7.6|17.6|42.8|45.3|70.5|54
2009|4|24.8|17.6|1.4|-23.8|-23.8|-2.2|-11.2|28.4|41|51.8|69.4|49.5
2009|5|26.6|21.2|-5.8|-27.4|-20.2|-4|-4|23|59|56.4|61.3|61.2
2009|6|23|5|-9.4|-23.8|-22|-25.6|-0.4|35.6|44.6|47.1|44.4|40.6
2009|7|23|8.6|-0.4|-20.2|-22|-13|3.2|28.4|51.8|46.7|45.9|39.9
2009|8|23|8.6|3.2|-16.6|-41.8|5|5|21.2|41|42.9|57.2|38.8
2009|9|28.4|17.6|3.2|-23.8|-38.2|5|3.2|26.6|41|54.6|41.7|39.4
2009|10|28.4|21.2|-4|-36.4|-29.2|1.4|-0.4|33.8|44.6|54.9|39|45
2009|11|28.4|21.2|-11.2|-20.2|-18.4|-13|5|33.8|41|66.2|45.5|40.5
2009|12|24.8|14|23|-18.4|-4|-20.2|3.2|17.6|37.4|76.2|47.8|42.1
2009|13|17.6|15.8|30.2|1.4|8.6|-23.8|6.8|23|37.4|59.7|47.1|39.2
2009|14|24.8|12.2|32|14|-2.2|-32.8|5|41|50|54.5|51.1|38.3
2009|15|28.4|12.2|15.8|12.2|3.2|-34.6|1.4|23|37.4|55.9|45.3|47.1
2009|16|23|8.6|8.6|39.2|-2.2|-34.6|6.8|39.2|39.2|49.6|47.8|40.1
2009|17|21.2|-2.2|26.6|15.8|-4|-29.2|6.8|53.6|41|45|45.7|38.3
2009|18|23|-0.4|30.2|-16.6|15.8|-29.2|6.8|42.8|37.4|44.3|47.5|35.8
2009|19|19.4|-9.4|15.8|-13|10.4|-31|14|37.4|37.4|43.9|51.3|33.6
2009|20|12.2|5|15.8|-9.4|-13|-18.4|15.8|33.8|35.6|41.3|58.6|33.4
2009|21|23|5|8.6|-9.4|-4|-25.6|14|32|39.2|40.6|62.8|33.6
2009|22|23|5|8.6|6.8|14|-25.6|28.4|33.8|39.2|40.3|65.3|33.1
2009|23|12.2|3.2|6.8|-5.8|26.6|-18.4|32|42.8|39.2|47.6|48.9|33.3
2009|24|14|8.6|-0.4|6.8|19.4|-18.4|32|44.6|39.2|66.2|49.6|31.5
2009|25|12.2|8.6|-5.8|-2.2|12.2|-4|39.2|35.6|37.4|50.8|43.3|33.1
2009|26|21.2|1.4|5|-14.8|-0.4|-9.4|42.8|32|42.8|48.9|41.7|30
2009|27|26.6|-2.2|-11.2|-14.8|19.4|-14.8|39.2|37.4|42.8|64.7|45.7|30.9
2009|28|21.2|1.4|-16.6|-25.6|12.2|-16.6|41|32|46.4|55.5|39.9|29.1
2009|29|23|3.2|-23.8|-38.2||-13|42.8|37.4|51.8|65|41.2|31.1
2009|30|21.2|3.2|-14.8|-27.4||-9.4|39.2|44.6|49.2|64.9|39.4|28.9
2009|31|19.4||-7.6|-25.6||3.2||51.8||54.5|39.9|
2010|1|26.8|24.8|10.8|0.3|-2.4|-16.4|6.1|21.4|34.9|46.9|67.5|43
2010|2|26.4|12.9|13.8|0.1|-5.6|-7.1|11.7|19.9|36|50.2|75.6|46.8
2010|3|32.4|13.1|12|0.1|-1.7|-4.2|14.7|21.4|34.5|51.1|72.7|43.7
2010|4|32.5|18.7|-3.3|-2.9|-20.4|11.3|22.5|25.9|35.1|63|63.5|45
2010|5|32.5|18.3|14.5|-4.4|-18.4|3.6|5|19.2|36.3|46.8|51.4|44.4
2010|6|29.8|11.7|27.9|-3.3|-13.7|3|9.9|30.9|41.2|48|44.8|53.1
2010|7|30|6.3|22.3|-2.9|-12.8|-1.7|13.8|26.8|45.9|51.6|44.2|51.6
2010|8|29.5|8.4|25|-20.7|-7.1|-1.1|8.4|21.6|55.9|73|43|62.4
2010|9|34.3|13.3|17.1|-40.2|-6.5|-6.3|-0.2|17.1|51.1|72.1|42.4|48.2
2010|10|34.5|13.8|23.7|-28.7|2.7|-5.3|5.4|15.6|52.3|45.3|41.5|43.2
2010|11|33.4|8.8|12.9|-26.1|10|-15.9|30.2|14.7|51.6|51.6|43.9|61.7
2010|12|36.1|9|10|-11.6|9.3|-18.6|33.4|20.5|45.9|50|61.5|56.8
2010|13|35.8|3.9|-7.2|-8.1|5.4|-19.1|30|20.1|38.5|54|59.7|51.4
2010|14|34.3|-10.3|-17.9|-18.4|7.2|-23.3|27|26.6|40.3|51.1|61.5|40.5
2010|15|33.3|-4|-16.1|-22.9|8.8|-20.4|25.5|26.2|37.2|51.6|54.5|49.1
2010|16|32|-3.3|-27.8|-22.5|10.9|-16.8|13.6|26.2|37.8|62.1|64.8|48.9
2010|17|26.6|0.3|-20.2|-29|2.7|1.8|18.7|29.3|39|56.5|55|48.2
2010|18|24.4|-6.7|-15.2|-32.1|10.8|10.8|22.8|30|38.7|47.1|58.8|53.2
2010|19|27.9|-6.3|-5.3|-36.9|6.3|6.6|24.8|32.2|40.3|43.5|47.5|42.3
2010|20|23.9|-6.5|-3.8|-18|6.1|-4.4|23.9|31.1|38.5|48.6|47.8|38.1
2010|21|25.5|-10.1|3.6|-15.7|2.8|-2.6|28.2|32.7|43|58.1|47.5|36.3
2010|22|28|-15.3|4.6|-17.3|0.7|-2|34|32.2|37.8|62.1|47.5|34.2
2010|23|28.8|-2.4|3.7|-14.8|-7.4|-4.2|28.4|31.8|42.6|51.1|46.6|36.3
2010|24|27.3|-0.8|8.8|-13.2|-14.6|1.9|33.3|33.3|46.9|51.1|48|36.3
2010|25|29.8|0.9|-4.9|4.3|-31.4|1|22.8|45.3|42.3|58.6|48.7|34.7
2010|26|29.1|6.8|-1.1|10.2|-33|-1.1|20.5|32.7|42.1|66.4|46.8|32.7
2010|27|28.8|7.2|1.8|4.3|-36|-13|27.3|41.2|45.7|56.5|46|29.7
2010|28|25|7.5|4.6|-7.8|-28.5|-3.3|28|39.9|48.4|61.3|49.5|30.4
2010|29|23.9|3.4|6.1|3.2||-6|27.3|38.1|46.8|52.7|57.7|32.2
2010|30|26.2|4.8|-0.6|1||-2.9|24.1|35.2|41|64|44.1|31.3
2010|31|22.3||-13.2|3.4||4.3||37||68.5|42.3|
2011|1|31.6|19.9|9.1|-12.1|-1.8|-5.1|3.7|14.7|32|51.8|53.1|52.3
2011|2||16.2|7.5|0.5|11.5|-11.2|2.1|20.7|34.2|55.6|59.5|45
2011|3|33.1|22.3|2.7|4.5|8.2|-13.7|4.6|18|35.4|48.4|48.9|43.5
2011|4|34|27.1|4.5|3.6|2.5|-4|7|19.9|39.6|43.7|54.7|43
2011|5|33.3|27|-0.6|10.9|15.1|-7.1|3.7|15.3|37.6|57.7|66.9|43.5
2011|6|30.9|22.3|-9.6|8.8|13.5|4.1|-7.2|19.2|35.8|59.2|59.4|43
2011|7|27|21.4|-17.1|8.4|-7.8|8.2|2.3|20.3|36.9|52.2|57.7|42.6
2011|8|20.7|22.3|-2.2|5|7.9|-4.2|0.1|24.3|33.3|48.6|57.9|39.9
2011|9|23.7|17.1|-5.4|31.8|7.9|-10.3|-2.6|19.8|34.5|44.4|51.8|40.8
2011|10|24.8|13.8|-0.8|31.8|2.5|9.5|-8.3|20.5|36.1|46.6|46.6|45
2011|11|26.8|15.3|-12.8|13.3|-24.3|9.5|-2.9|22.8|34.5|47.5|49.6|54.1
2011|12|27|14.4|14.7|-6.3|-20.6|-9|-1.7|22.5|38.8|48.7|52.9|52.3
2011|13|26.6|13.3|14.2|-14.3|-9|-15.9|1.8|28.8|37.6|48|50.4|50.4
2011|14|25.7|5.9|-2.9|-9.8|-7.4|-15.9|3.4|28|41.5|49.6|43.2|40.6
2011|15|23.7|7.2|-1.1|1|-16.8|-8.7|2.1|31.5|58.6|49.6|41.7|40.8
2011|16|26.4|14.5|0|-7.4|-15.2|-8|19.2|34.2|62.8|48.6|41.4|39.4
2011|17|26.2|30.7|-15.2|3.7|18|-9|22.5|32.4|46.8|60.3|43.2|38.1
2011|18|28.6|31.3|-7.8|-17.3|16.3|-3.1|27.9|37.2|45|54.3|44.2|37.8
2011|19|28.8|22.8|-6|-17|-1.8|-2.7|20.7|49.5|50.4|64.6|42.6|37.9
2011|20|26.2|27.1|14.7|-31.5|-7.8|9.3|10.8|35.1|45.1|69.1|51.4|39.2
2011|21|28.4|22.3|12.9|-33.3|4.1|4.8|7.5|46.2|39.6|60.3|46.2|37.6
2011|22|28.6|36|-4.4|-37.8|-11|11.1|4.5|34|48.4|54.3|43.9|36.9
2011|23|28|32.7|-15.2|-42.5|26.6|16.2|5.9|42.4|43.9|57|44.4|35.2
2011|24|27.1|23.5|-15.3|-36|33.6|13.8|10.6|47.5|41.2|49.6|43.7|33.6
2011|25|27.9|17.4|-19.8|-36.4|31.5|7|7.5|39|46|44.4|44.8|33.8
